Year.Grazing,Grazing,Year,Site.ID,AcmAm,AirCa,AloSa,AveFa,BarGr,BlenNa,BriMi,BroEl,BroMi,BroDi,BroHo,BroUp,CasAt,CasCa,CenSp,ChlPo,CicQu,CotCo,CroSe,DesDa,DowBi,DowCu,DowOr,EleAc,EleMa,ElyCa,EroBo,EryCa,EscLo,FesBr,FesPe,GerDi,GlyDe,GraEb,HolVir,HorMa,HypRa,JunBa,JunBu,JunCa,JunPa,LasFr,LasGl,CotCo.1,LayFr,LeoSa,LotPu,LupBi,LytHy,NavLe,NavMe,PilAm,PlagSt,PlagGr,PogZi,PsiBr,RanBo,TriDe,TriDu,TriBi,TriHi,TriEr,TriHy,TriLa,TriVa
2017_Ungrazed,Ungrazed,2017,D5-28,0,0,0.556666667,27.22333333,5,0.11,0,0,0,15.44333333,21,0.443333333,0,5.89,0,0,2.333333333,0,1.11,19.66666667,11.88666667,0,0,0,0,0.666666667,11.22333333,6.666666667,0,11.44333333,19.11,0,0,3,0,2.11,0,0,7.333333333,1,5.89,30.89,0,0,0,29.55666667,0,0.223333333,5.11,0,0,0,1.443333333,0,0,0,11.22333333,0.223333333,0,0,0,0,0,0,0
2015_Grazed,Grazed,2015,D5-35,0,0,0,2,3.556666667,0,4.11,0,4.666666667,0,9.886666667,0,0,0,1.886666667,0,0,0,1,0.333333333,0,0,0,0,0.223333333,19.77666667,21.22,3.443333333,0,4.22,0.443333333,0,0,1.333333333,0,32.66333333,0,0,1.223333333,0.443333333,0,3.443333333,0,0,0,27,0,0.666666667,0.556666667,5.89,3,0,6.223333333,0,0.553333333,22.77666667,0,0,0,0,0,0,0,0,0
2016_Grazed,Grazed,2016,D5-35,0,2,0,0.556666667,5.553333333,0,1.333333333,0,1.333333333,11,7.443333333,0,0,0,0.776666667,0,0,0,0,0,0.776666667,0,0,0,0,0,17.66666667,8.11,0,39.44666667,0,0,0,0,0,4.443333333,0,0,17.44333333,3.78,0,20.55666667,0,0.776666667,0,38.66666667,0,0,6.223333333,11.22333333,0,0,5.333333333,0,0.443333333,20.22333333,0,1.886666667,0,0,0,0,0,0,0
2017_Grazed,Grazed,2017,D5-35,0,0,0,13.44333333,0.333333333,0,0.886666667,0,2.556666667,0,9.443333333,0.443333333,0.11,0.666666667,0,1.443333333,0,0,0.223333333,2.776666667,1.333333333,0,0.666666667,30.89,11,5.776666667,3.333333333,22.11333333,0,38,2.11,0,0,0.333333333,0,9.333333333,0,0,6.666666667,0.223333333,0,10.22,0,0,0,16.33333333,0,0,0.446666667,13.89,0,0,3.333333333,0,0.333333333,0,4.11,0.333333333,0,0,0.443333333,0,0.443333333,0,0
2015_Grazed,Grazed,2015,D5-39,0,0,0.11,9.22,7.996666667,0,2,0,4,2,8,0,0.11,0.443333333,0.333333333,0,0,0,0,1.223333333,4.776666667,0.333333333,0,0,15,0.556666667,37.11,13.33333333,0,4.446666667,0,0,0,0.443333333,0,4.556666667,0,0,4.11,1.89,0,2.776666667,0,0,0,15.55666667,0,0.666666667,2.22,0,9.11,0,3.556666667,0,4.333333333,8.886666667,18.22333333,0,0,0,0,0,0,0,0
2016_Grazed,Grazed,2016,D5-39,0,0,0.11,30.89,6.22,0,4.223333333,0,0.78,0.443333333,15,0,0.22,0.333333333,0.223333333,0,0.443333333,0,1.776666667,2.333333333,12.66666667,0.556666667,0,0,16,0,23.44333333,18,0,24.78,0,0,0,2.666666667,0,11.22333333,0,0,18.22333333,2.11,0,2,0,0.666666667,0.333333333,35.66666667,0,2.11,0.776666667,7.223333333,0,0,8.556666667,0,0,24,22.22333333,0,0,0,0.223333333,0,0.333333333,0,0
2017_Grazed,Grazed,2017,D5-39,0,0,0,18.11,7.443333333,0,1,0,0.556666667,0.443333333,23.77666667,0.556666667,0,0,0.333333333,0,0,0,0.223333333,2.333333333,5.443333333,0,0.11,0,39.89,8.443333333,2.443333333,24.66666667,0,36.11,0,0,0,4,0,10.33333333,0,0,8.113333333,0,0.776666667,1.443333333,0,0,0,12.66666667,0,0,0.89,5.556666667,0,0,1.11,0,0.666666667,11.66666667,24.33333333,2.333333333,2.333333333,0,7.443333333,0,1.443333333,0,1.223333333
2015_Grazed,Grazed,2015,D6-40,0,0,0,2.446666667,11.11,0,0,0,1.556666667,1.443333333,4,0,0,3,0.11,0,0,0,0.556666667,1.553333333,0.886666667,0,0,0,5.443333333,0.89,31.89,6.89,0,14.66666667,0.443333333,0,0,0,0,8.776666667,0,0,3.776666667,0,0,8.443333333,0,0,0,16.66666667,0,0.556666667,0.11,0,29.89,0,3.11,0,0.556666667,5.666666667,0,0,0,0,0,0,0,0,0
2016_Grazed,Grazed,2016,D6-40,0,0,0,13.22333333,8.223333333,0,4.11,0.333333333,5,0,28.66666667,0,0,2.666666667,1,0,0,0,0.556666667,4,7.78,0,0,0,17.44333333,0,36,13.77666667,0,36.55666667,0.333333333,0,0,0.556666667,0,26.44333333,0,0,8.776666667,0.223333333,0,10.55666667,0,0,0,29.88666667,0,0,0.223333333,29.11333333,0,0,6.113333333,0,0.89,12.11333333,0.223333333,0,0,0,0,0,0,0,0
2017_Grazed,Grazed,2017,D6-40,0,0,0,3.223333333,1.443333333,0,3,0,0,2.333333333,5.666666667,0,0,1.113333333,0,0,0,0,0.223333333,14.22,10.66666667,1.223333333,0.11,10,27.66666667,16.89,16.33333333,12.33333333,0,33.33333333,0.11,0,0,1.223333333,0,8.11,0.443333333,0,18.11,5.89,0,9,0,0,0,14.78,0,0.556666667,0,25.33333333,0,0,0,0,0,0,0,4.556666667,0,0,0.223333333,0,0,0.556666667,7.776666667
